epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,14338.5,0.68325,0.34031,0.93404,0.90136,0.92304,0.93069,0.74474,0.94728,0.39602,1.016,0.00016636,0.00016636,0.00016636
61,14746.1,0.67338,0.33712,0.92978,0.90649,0.91956,0.93109,0.74369,0.96061,0.40023,1.02051,0.0001624,0.0001624,0.0001624
62,15068.8,0.67285,0.33735,0.93015,0.89477,0.92513,0.93022,0.74519,0.9503,0.3958,1.01679,0.00015844,0.00015844,0.00015844
63,15401.9,0.67093,0.33544,0.92873,0.89768,0.92156,0.93077,0.74465,0.95018,0.39531,1.01774,0.00015448,0.00015448,0.00015448
64,15645.1,0.66497,0.33323,0.92868,0.90433,0.91721,0.9314,0.74513,0.9472,0.39517,1.01611,0.00015052,0.00015052,0.00015052
65,15873.1,0.6598,0.33016,0.92416,0.91151,0.91247,0.9308,0.74875,0.94525,0.39399,1.01727,0.00014656,0.00014656,0.00014656
66,16154,0.65609,0.33049,0.92452,0.90254,0.91343,0.9304,0.74456,0.93769,0.39156,1.01427,0.0001426,0.0001426,0.0001426
67,16481,0.65563,0.32985,0.92415,0.90066,0.91973,0.93061,0.74192,0.94295,0.38897,1.01529,0.00013864,0.00013864,0.00013864
68,16802,0.64734,0.32604,0.92115,0.90272,0.91959,0.93161,0.74671,0.93538,0.39068,1.01399,0.00013468,0.00013468,0.00013468
69,17121.7,0.65011,0.32693,0.92117,0.90403,0.9167,0.93058,0.74546,0.94482,0.3914,1.01703,0.00013072,0.00013072,0.00013072
70,17340.5,0.64026,0.32268,0.91857,0.91027,0.91541,0.93134,0.75069,0.94481,0.39208,1.01789,0.00012676,0.00012676,0.00012676
71,17563.2,0.64037,0.32423,0.91964,0.91079,0.91608,0.93171,0.74896,0.94611,0.38962,1.01762,0.0001228,0.0001228,0.0001228
72,17859.8,0.63316,0.3197,0.91496,0.9111,0.91758,0.9315,0.75082,0.93438,0.38758,1.01467,0.00011884,0.00011884,0.00011884
73,18128,0.63321,0.31966,0.91586,0.90068,0.92394,0.93099,0.74935,0.93049,0.38604,1.01416,0.00011488,0.00011488,0.00011488
74,18356,0.62888,0.31916,0.91556,0.9049,0.91818,0.93232,0.74895,0.93644,0.38683,1.01544,0.00011092,0.00011092,0.00011092
75,18576,0.62771,0.31782,0.91437,0.90535,0.91868,0.93134,0.74403,0.94057,0.38685,1.01784,0.00010696,0.00010696,0.00010696
76,18953.9,0.62276,0.31539,0.9116,0.90974,0.91397,0.93174,0.7507,0.93393,0.386,1.01672,0.000103,0.000103,0.000103
77,19436.2,0.61677,0.31354,0.90997,0.91043,0.91464,0.93299,0.75026,0.93483,0.3857,1.01666,9.904e-05,9.904e-05,9.904e-05
